CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,BNS,305,1,1
1,BNS,331,1,2
2,BNS,303,1,1
3,BNS,305,1,1
3,BNS,331,1,2
4,BNS,305,1,1
4,BNS,331,1,2
5,BNS,303,1,1
6,BNS,303,1,1
7,BNS,303,1,1
8,BNS,303,1,1
9,BNS,303,1,1
10,BNS,303,1,1
11,BNS,303,1,1
12,BNS,305,1,1
12,BNS,331,1,2
13,BNS,304,1,1
14,BNS,304,1,1
15,BNS,304,1,1
16,BNS,304,1,1
17,BNS,304,1,1
18,BNS,304,1,1
19,BNS,304,1,1
20,BNS,304,1,1
21,BNS,304,1,1
22,BNS,304,1,1
23,BNS,304,1,1
24,BNS,304,1,1
25,BNS,304,1,1
26,BNS,304,1,1
27,BNS,304,1,1
28,BNS,117,1,1
29,BNS,115,1,1
30,BNS,303,1,1
31,BNS,85,1,1
32,BNS,303,1,1
33,BNS,304,1,1
34,BNS,115,1,1
35,BNS,303,1,1
36,BNS,303,1,1
37,BNS,316,1,1
38,BNS,303,1,1
39,BNS,303,1,1
40,BNS,115,1,1
41,BNS,318,1,1
42,BNS,303,1,1
43,BNS,304,1,1
44,BNS,117,1,1
45,BNS,303,1,1
46,BNS,318,1,1
46,IT,66C,1,2
46,IT,66D,1,3
47,BNS,316,1,1
48,BNS,305,1,1
48,BNS,331,1,2
49,BNS,115,1,1
50,BNS,316,1,1
51,BNS,85,1,1
52,BNS,318,1,1
53,BNS,115,1,1
54,BNS,103,1,1
55,BNS,115,1,1
56,BNS,303,1,1
57,IT,66C,1,1
58,BNS,103,1,1
59,BNS,109,1,1
60,BNS,115,1,1
61,BNS,115,1,1
62,BNS,303,1,1
63,BNS,115,1,1
64,BNS,318,1,1
65,BNS,115,1,1
66,BNS,318,1,1
67,BNS,318,1,1
68,BNS,115,1,1
69,BNS,303,1,1
70,BNS,305,1,1
70,BNS,331,1,2
71,BNS,74,1,1
72,BNS,318,1,1
72,IT,66C,1,2
72,IT,66D,1,3
73,BNS,85,1,1
74,BNS,85,1,1
75,BNS,117,1,1
76,BNS,303,1,1
77,BNS,303,1,1
78,BNS,309,1,1
79,BNS,303,1,1
80,BNS,303,1,1
81,BNS,318,1,1
81,IT,66C,1,2
81,IT,66D,1,3
82,BNS,74,1,1
83,BNS,303,1,1
84,BNS,303,1,1
85,BNS,117,1,1
86,BNS,318,1,1
86,IT,66C,1,2
86,IT,66D,1,3
87,BNS,303,1,1
88,BNS,318,1,1
88,IT,66C,1,2
88,IT,66D,1,3
89,BNS,85,1,1
90,BNS,109,1,1
91,BNS,115,1,1
92,BNS,304,1,1
93,BNS,303,1,1
94,BNS,115,1,1
95,BNS,318,1,1
96,BNS,74,1,1
97,BNS,304,1,1
98,BNS,303,1,1
99,BNS,316,1,1
100,BNS,318,1,1
100,IT,66C,1,2
100,IT,66D,1,3
101,BNS,304,1,1
102,BNS,304,1,1
103,BNS,303,1,1
104,BNS,305,1,1
104,BNS,331,1,2
105,BNS,305,1,1
105,BNS,331,1,2
106,BNS,115,1,1
107,BNS,305,1,1
107,BNS,331,1,2
108,BNS,115,1,1
109,BNS,103,1,1
110,BNS,304,1,1
111,BNS,304,1,1
112,BNS,303,1,1
113,BNS,117,1,1
114,BNS,304,1,1
115,BNS,303,1,1
116,BNS,304,1,1
117,BNS,117,1,1
118,BNS,305,1,1
118,BNS,331,1,2
119,BNS,85,1,1
120,BNS,109,1,1
121,BNS,303,1,1
122,BNS,74,1,1
123,BNS,303,1,1
124,BNS,318,1,1
125,BNS,318,1,1
125,IT,66C,1,2
125,IT,66D,1,3
126,BNS,305,1,1
126,BNS,331,1,2
127,BNS,304,1,1
128,BNS,303,1,1
129,BNS,117,1,1
130,BNS,115,1,1
131,BNS,303,1,1
132,BNS,303,1,1
133,BNS,103,1,1
134,BNS,318,1,1
135,BNS,316,1,1
136,BNS,303,1,1
137,BNS,303,1,1
138,BNS,303,1,1
139,BNS,309,1,1
140,BNS,115,1,1
141,BNS,303,1,1
142,BNS,318,1,1
