ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,2,2,2023-02-06,29,1,7,1010,1,2,1,0
2,6,2,2026-12-18,29,1,7,1014,1,6,1,0
3,7,1,2022-11-06,29,1,8,1016,1,7,1,0
4,8,1,2023-09-14,29,1,6,1009,1,8,1,0
5,9,2,2023-10-03,29,1,8,1016,1,9,1,0
6,11,1,2023-02-16,29,1,7,1012,1,11,1,0
7,14,2,2025-01-07,29,1,7,1010,1,17,1,0
8,15,1,2023-06-23,29,1,8,1020,1,20,1,0
9,16,1,2023-07-18,29,1,6,1003,1,23,1,0
10,17,1,2026-02-05,29,1,8,1019,1,26,1,0
11,19,1,2026-02-20,29,1,8,1016,1,32,1,0
12,20,1,2026-04-15,29,1,7,1012,1,36,1,0
13,21,1,2026-05-15,29,1,7,1015,1,40,1,0
14,22,1,2025-05-30,29,1,7,1014,1,42,1,0
15,24,1,2025-08-24,29,1,6,1002,1,47,1,0
16,25,1,2024-06-26,29,1,8,1021,1,49,1,0
17,26,1,2025-09-26,29,1,8,1021,1,51,1,0
18,31,2,2026-04-23,29,8,21,1121,8,59,1,0
19,33,1,2025-10-27,29,1,12,1052,1,60,1,0
20,40,2,2024-04-30,29,1,9,1023,1,67,1,0
21,42,1,2022-01-14,29,7,20,1118,7,69,1,0
22,43,1,2022-01-22,29,4,17,1092,4,70,1,0
23,51,2,2023-07-28,29,5,18,1099,5,82,1,0
24,52,1,2022-10-01,29,1,8,1019,1,83,1,0
25,54,1,2025-10-25,29,8,21,1122,8,88,1,0
26,55,1,2026-11-17,29,7,20,1118,7,89,1,0
27,58,1,2024-06-08,29,2,13,1056,2,90,1,0
28,59,1,2023-12-27,29,6,19,1109,6,92,1,0
29,60,1,2025-09-14,29,4,17,1092,4,93,1,0
30,61,1,2025-10-31,29,1,6,1003,1,96,1,0
31,63,1,2026-06-26,29,2,14,1072,2,97,1,0
32,64,1,2026-02-25,29,1,11,1036,1,100,1,0
33,66,1,2025-08-27,29,1,8,1021,1,102,1,0
34,67,2,2022-12-30,29,1,6,1008,1,104,1,0
35,68,1,2023-06-24,29,1,8,1021,1,105,1,0
36,71,1,2026-08-22,29,1,12,1051,1,106,1,0
37,75,1,2022-01-01,29,1,12,1051,1,111,1,0
38,76,1,2025-02-17,29,1,9,1028,1,112,1,0
39,78,1,2026-11-17,29,1,7,1010,1,114,1,0
40,79,2,2023-07-10,29,7,20,1112,7,117,1,0
41,80,2,2022-05-30,29,1,10,1034,1,119,1,0
42,81,1,2022-06-27,29,8,21,1128,8,120,1,0
43,83,1,2023-01-20,29,2,13,1060,2,123,1,0
44,86,1,2021-03-17,29,1,9,1024,1,125,1,0
45,90,2,2023-10-19,29,1,12,1052,1,129,1,0
46,91,1,2023-06-03,29,3,16,1088,3,130,1,0
47,96,1,2024-01-17,29,6,19,1108,6,137,1,0
48,99,1,2021-10-10,29,1,7,1015,1,139,1,0
49,105,1,2026-12-28,29,4,17,1095,4,145,1,0
50,108,1,2024-06-19,29,1,11,1040,1,148,1,0
51,109,1,2022-04-15,29,8,21,1127,8,149,1,0
52,110,2,2024-02-16,29,2,14,1068,2,150,1,0
53,111,1,2023-03-18,29,6,19,1111,6,151,1,0
54,116,1,2026-08-07,29,1,7,1014,1,155,1,0
55,117,1,2022-03-24,29,1,10,1029,1,158,1,0
56,118,1,2024-12-02,29,5,18,1097,5,160,1,0
57,119,1,2022-01-24,29,2,13,1060,2,163,1,0
58,120,1,2026-07-02,29,2,14,1067,2,164,1,0
59,124,1,2022-12-17,29,5,18,1101,5,167,1,0
60,125,1,2025-01-15,29,3,16,1090,3,169,1,0
61,129,1,2024-02-27,29,1,10,1031,1,176,1,0
62,137,1,2023-05-04,29,3,16,1085,3,184,1,0
63,139,1,2027-02-19,29,1,7,1014,1,187,1,0
64,140,1,2026-07-01,29,4,17,1095,4,189,1,0
65,141,1,2022-03-30,29,2,13,1055,2,191,1,0
66,142,1,2021-08-03,29,1,9,1027,1,193,1,0
67,143,1,2024-11-21,29,6,19,1107,6,194,1,0
68,148,1,2023-06-13,29,1,6,1002,1,199,1,0
69,153,1,2022-11-06,29,7,20,1113,7,205,1,0
70,157,1,2026-05-12,29,1,12,1046,1,209,1,0
71,158,1,2023-05-21,29,3,16,1083,3,211,1,0
72,159,1,2021-07-28,29,8,21,1122,8,212,1,0
73,161,1,2022-12-07,29,1,6,1006,1,215,1,0
74,162,2,2023-07-04,29,4,17,1091,4,216,1,0
75,164,1,2023-08-29,29,1,10,1033,1,217,1,0
76,170,1,2022-11-19,29,5,18,1097,5,223,1,0
77,171,1,2023-03-29,29,4,17,1093,4,225,1,0
78,176,1,2022-08-25,29,4,17,1094,4,237,1,0
79,184,1,2021-06-05,29,1,12,1051,1,247,1,0
80,187,1,2025-01-23,29,1,8,1017,1,252,1,0
81,190,1,2022-03-05,29,8,21,1125,8,254,1,0
82,191,1,2021-03-07,29,2,13,1060,2,255,1,0
83,193,1,2021-11-25,29,6,19,1111,6,257,1,0
84,195,1,2023-03-04,29,5,18,1103,5,258,1,0
85,197,1,2021-07-23,29,7,20,1113,7,259,1,0
86,198,1,2024-09-16,29,1,6,1009,1,260,1,0
87,202,1,2027-02-10,29,7,20,1115,7,263,1,0
88,203,1,2026-05-16,29,2,14,1063,2,264,1,0
89,204,1,2023-11-10,29,2,13,1058,2,265,1,0
90,207,1,2025-06-11,29,1,10,1034,1,271,1,0
91,208,1,2025-01-25,29,2,13,1060,2,272,1,0
92,213,1,2022-01-07,29,1,8,1021,1,273,1,0
93,219,2,2025-01-27,29,2,13,1060,2,277,1,0
94,220,1,2024-10-04,29,1,12,1050,1,278,1,0
95,222,1,2023-02-07,29,5,18,1104,5,280,1,0
96,223,1,2023-04-10,29,6,19,1110,6,281,1,0
97,225,1,2021-05-09,29,6,19,1110,6,283,1,0
98,226,1,2023-10-07,29,5,18,1102,5,284,1,0
99,227,1,2021-05-29,29,1,10,1034,1,286,1,0
100,228,1,2022-12-27,29,2,14,1067,2,288,1,0
101,229,1,2022-08-27,29,6,19,1106,6,289,1,0
102,231,1,2022-12-12,29,8,21,1125,8,293,1,0
103,232,1,2024-02-06,29,3,16,1090,3,295,1,0
104,233,1,2021-06-08,29,6,19,1105,6,297,1,0
105,236,1,2026-01-05,29,6,19,1110,6,300,1,0
106,237,1,2026-05-02,29,1,10,1034,1,301,1,0
107,239,1,2024-05-23,29,4,17,1095,4,306,1,0
108,242,1,2021-10-07,29,3,16,1090,3,310,1,0
109,243,1,2025-05-05,29,2,13,1062,2,311,1,0
110,247,1,2025-08-11,29,3,16,1083,3,314,1,0
111,250,1,2024-07-31,29,2,14,1069,2,320,1,0
112,253,1,2023-05-16,29,2,13,1055,2,322,1,0
113,254,1,2024-07-03,29,1,9,1028,1,324,1,0
114,256,1,2024-12-03,29,8,21,1126,8,327,1,0
115,257,2,2022-02-01,29,2,14,1064,2,328,1,0
116,262,1,2026-04-03,29,3,16,1085,3,331,1,0
117,265,1,2025-09-19,29,5,18,1098,5,334,1,0
118,266,1,2025-02-01,29,2,13,1058,2,335,1,0
119,269,1,2026-04-13,29,2,13,1053,2,338,1,0
120,270,1,2025-11-10,29,7,20,1117,7,339,1,0
121,272,1,2023-04-23,29,1,6,1009,1,341,1,0
122,273,1,2024-04-20,29,1,8,1021,1,342,1,0
123,274,1,2025-04-27,29,3,16,1089,3,344,1,0
124,280,1,2025-08-17,29,1,6,1001,1,348,1,0
125,283,2,2023-06-18,29,8,21,1122,8,351,1,0
126,284,1,2022-02-03,29,1,12,1048,1,352,1,0
127,286,1,2022-07-08,29,1,12,1043,1,355,1,0
128,287,1,2025-05-16,29,1,11,1041,1,356,1,0
129,290,1,2022-08-22,29,5,18,1103,5,360,1,0
130,292,1,2024-01-17,29,1,10,1032,1,361,1,0
131,295,1,2021-12-13,29,3,16,1085,3,362,1,0
132,297,1,2024-09-12,29,3,16,1089,3,366,1,0
133,301,1,2026-12-21,29,3,15,1073,3,368,1,0
134,302,1,2026-07-04,29,2,13,1060,2,371,1,0
135,303,1,2026-04-03,29,3,16,1085,3,372,1,0
136,305,1,2025-01-09,29,3,15,1079,3,375,1,0
137,309,1,2021-12-08,29,1,6,1005,1,376,1,0
138,310,1,2026-10-08,29,8,21,1127,8,377,1,0
139,313,2,2025-02-03,29,2,14,1065,2,380,1,0
140,317,1,2021-07-17,29,2,13,1058,2,382,1,0
141,320,1,2025-01-05,29,2,14,1071,2,386,1,0
142,323,1,2021-10-25,29,6,19,1108,6,390,1,0
143,329,1,2023-06-21,29,1,12,1051,1,393,1,0
144,330,1,2022-11-13,29,1,11,1035,1,395,1,0
145,331,1,2022-03-15,29,2,14,1065,2,397,1,0
146,332,1,2023-06-10,29,3,15,1080,3,399,1,0
147,333,1,2024-06-04,29,3,15,1074,3,400,1,0
148,334,1,2026-10-17,29,1,12,1046,1,401,1,0
149,335,2,2022-10-29,29,3,15,1076,3,402,1,0
150,338,2,2024-11-16,29,7,20,1119,7,404,1,0
151,341,1,2022-07-15,29,1,6,1009,1,405,1,0
152,344,1,2026-07-11,29,6,19,1106,6,407,1,0
153,346,1,2025-05-17,29,7,20,1116,7,409,1,0
154,352,1,2021-12-01,29,8,21,1127,8,416,1,0
155,356,1,2024-07-01,29,1,11,1041,1,420,1,0
156,363,1,2026-05-04,29,7,20,1114,7,429,1,0
157,365,1,2026-12-19,29,1,8,1021,1,430,1,0
158,366,1,2022-12-19,29,1,9,1027,1,432,1,0
159,369,2,2023-12-06,29,1,6,1007,1,435,1,0
160,370,1,2025-01-22,29,1,8,1018,1,438,1,0
161,372,1,2023-07-02,29,3,16,1089,3,440,1,0
162,373,1,2026-10-10,29,1,7,1010,1,442,1,0
163,374,1,2026-07-14,29,3,16,1087,3,443,1,0
164,377,1,2023-11-19,29,1,7,1014,1,448,1,0
165,379,1,2025-07-22,29,1,6,1002,1,449,1,0
166,383,1,2025-08-05,29,1,12,1043,1,454,1,0
167,386,2,2023-03-13,29,1,8,1020,1,456,1,0
168,388,1,2023-01-29,29,1,10,1033,1,457,1,0
169,389,1,2023-01-01,29,1,6,1005,1,460,1,0
170,390,1,2024-05-20,29,5,18,1102,5,462,1,0
171,392,1,2024-04-04,29,1,11,1040,1,466,1,0
172,393,1,2025-06-22,29,7,20,1114,7,467,1,0
173,397,1,2026-12-17,29,1,12,1050,1,473,1,0
174,398,1,2024-04-21,29,8,21,1122,8,474,1,0
175,403,1,2021-09-20,29,1,6,1005,1,477,1,0
176,407,1,2024-11-24,29,6,19,1106,6,479,1,0
177,409,1,2025-01-28,29,1,7,1014,1,481,1,0
178,416,1,2021-07-22,29,2,13,1059,2,486,1,0
179,417,1,2025-08-09,29,1,12,1050,1,487,1,0
180,418,1,2026-09-27,29,1,11,1039,1,489,1,0
181,420,1,2025-05-16,29,2,14,1063,2,491,1,0
182,421,1,2021-04-02,29,3,15,1078,3,493,1,0
183,423,1,2023-01-21,29,1,10,1029,1,495,1,0
184,424,1,2026-10-01,29,4,17,1093,4,497,1,0
185,425,2,2024-06-26,29,2,14,1066,2,498,1,0
186,428,1,2023-07-01,29,1,7,1014,1,503,1,0
187,429,1,2025-08-24,29,4,17,1095,4,504,1,0
