CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2026-10-23 00:00:00,C,1031
2,3,2023-06-26 00:00:00,A,1001
3,6,2027-08-02 00:00:00,A,1014
4,7,2023-08-09 00:00:00,A,1016
5,8,2023-10-25 00:00:00,A,1009
6,9,2024-01-09 00:00:00,A,1016
7,11,2023-08-05 00:00:00,A,1012
8,14,2025-02-22 00:00:00,C,1010
9,15,2023-06-09 00:00:00,A,1020
10,17,2026-01-18 00:00:00,A,1019
11,18,2026-03-11 00:00:00,C,1007
12,19,2026-03-29 00:00:00,A,1016
13,20,2026-07-27 00:00:00,B,1012
14,21,2026-11-25 00:00:00,A,1015
15,22,2025-07-03 00:00:00,A,1014
16,23,2026-02-15 00:00:00,A,1020
17,24,2025-12-16 00:00:00,A,1002
18,25,2025-03-15 00:00:00,A,1021
19,27,2025-03-31 00:00:00,C,1009
20,28,2024-05-30 00:00:00,A,1106
21,30,2022-07-25 00:00:00,A,1064
22,32,2027-04-29 00:00:00,A,1086
23,33,2026-04-14 00:00:00,A,1052
24,35,2026-01-02 00:00:00,C,1019
25,37,2024-05-27 00:00:00,C,1052
26,39,2024-03-05 00:00:00,A,1016
27,42,2022-03-25 00:00:00,C,1118
28,44,2025-03-24 00:00:00,C,1096
29,45,2026-06-07 00:00:00,C,1062
30,46,2025-12-05 00:00:00,B,1021
31,48,2026-08-02 00:00:00,C,1099
32,49,2025-11-17 00:00:00,A,1039
33,50,2022-01-08 00:00:00,C,1024
34,51,2024-02-14 00:00:00,A,1099
35,52,2022-08-23 00:00:00,A,1019
36,55,2026-12-24 00:00:00,A,1118
37,56,2022-03-10 00:00:00,C,1120
38,57,2024-10-07 00:00:00,A,1035
39,58,2024-09-15 00:00:00,A,1056
40,60,2025-10-21 00:00:00,C,1092
41,63,2027-01-01 00:00:00,C,1072
42,64,2026-06-02 00:00:00,A,1036
43,65,2023-08-31 00:00:00,A,1072
44,67,2023-07-20 00:00:00,A,1008
45,68,2023-12-06 00:00:00,C,1021
46,69,2024-03-15 00:00:00,A,1085
47,70,2025-03-07 00:00:00,A,1003
48,71,2026-10-06 00:00:00,A,1051
49,72,2023-12-13 00:00:00,A,1116
50,73,2026-09-16 00:00:00,C,1078
51,77,2022-10-17 00:00:00,A,1109
52,78,2027-03-15 00:00:00,A,1010
53,79,2023-11-06 00:00:00,C,1112
54,80,2022-05-22 00:00:00,A,1034
55,83,2023-03-19 00:00:00,A,1060
56,86,2021-10-29 00:00:00,A,1024
57,87,2025-08-13 00:00:00,A,1071
58,88,2025-03-08 00:00:00,A,1103
59,89,2026-09-22 00:00:00,A,1091
60,91,2023-09-30 00:00:00,C,1088
61,94,2023-03-07 00:00:00,C,1107
62,95,2026-08-01 00:00:00,A,1062
63,97,2026-04-26 00:00:00,A,1123
64,98,2022-10-08 00:00:00,A,1114
65,99,2022-05-31 00:00:00,A,1015
66,100,2021-07-23 00:00:00,A,1109
67,101,2023-01-09 00:00:00,A,1070
68,104,2025-05-02 00:00:00,A,1110
69,105,2027-03-11 00:00:00,A,1095
70,108,2024-12-04 00:00:00,A,1040
71,109,2022-09-14 00:00:00,A,1127
72,110,2024-09-04 00:00:00,C,1068
73,111,2023-11-27 00:00:00,C,1111
74,112,2024-05-17 00:00:00,A,1091
75,115,2025-10-03 00:00:00,A,1001
76,116,2027-01-13 00:00:00,A,1014
77,117,2022-08-17 00:00:00,A,1029
78,118,2025-04-18 00:00:00,A,1097
79,119,2022-05-25 00:00:00,A,1060
80,120,2026-11-10 00:00:00,C,1067
81,123,2025-12-08 00:00:00,A,1002
82,124,2022-11-08 00:00:00,A,1101
83,127,2025-04-18 00:00:00,A,1094
84,129,2024-05-30 00:00:00,A,1031
85,130,2027-03-14 00:00:00,A,1079
86,131,2024-12-12 00:00:00,A,1106
87,132,2025-12-24 00:00:00,C,1004
88,133,2026-05-18 00:00:00,A,1108
89,134,2026-09-13 00:00:00,C,1103
90,135,2024-07-23 00:00:00,A,1031
91,137,2023-06-09 00:00:00,A,1085
92,138,2026-07-02 00:00:00,A,1079
93,139,2027-03-05 00:00:00,C,1014
94,142,2021-09-05 00:00:00,A,1027
95,143,2025-04-02 00:00:00,C,1107
96,144,2026-01-03 00:00:00,A,1041
97,145,2023-05-07 00:00:00,C,1114
98,146,2023-01-01 00:00:00,C,1037
99,147,2024-04-26 00:00:00,A,1080
100,149,2027-03-21 00:00:00,C,1100
101,150,2027-04-28 00:00:00,B,1076
102,151,2026-09-02 00:00:00,A,1058
103,152,2023-02-28 00:00:00,C,1017
104,153,2022-11-27 00:00:00,C,1113
105,154,2022-07-29 00:00:00,A,1077
106,156,2023-04-25 00:00:00,C,1082
107,158,2023-06-15 00:00:00,A,1083
108,159,2021-08-01 00:00:00,A,1122
109,160,2023-05-29 00:00:00,C,1104
110,162,2023-12-18 00:00:00,A,1091
111,164,2024-05-09 00:00:00,B,1033
112,165,2023-09-12 00:00:00,A,1033
113,166,2021-11-17 00:00:00,A,1059
114,167,2027-04-21 00:00:00,C,1086
115,168,2027-03-18 00:00:00,A,1086
116,169,2021-07-14 00:00:00,A,1046
117,172,2025-12-23 00:00:00,C,1059
118,173,2026-11-17 00:00:00,A,1092
119,175,2027-02-19 00:00:00,A,1086
120,176,2022-11-19 00:00:00,C,1094
121,177,2023-09-09 00:00:00,A,1031
122,178,2026-05-28 00:00:00,A,1026
123,179,2023-09-30 00:00:00,A,1046
124,180,2022-08-03 00:00:00,A,1074
125,181,2024-11-01 00:00:00,C,1005
126,183,2023-12-10 00:00:00,C,1068
127,184,2021-07-27 00:00:00,A,1051
128,185,2025-04-08 00:00:00,A,1075
129,186,2024-11-12 00:00:00,A,1108
130,188,2025-10-22 00:00:00,C,1025
131,189,2026-04-11 00:00:00,C,1013
132,191,2021-06-14 00:00:00,C,1060
133,192,2025-09-02 00:00:00,A,1034
134,193,2022-06-21 00:00:00,A,1111
135,194,2022-10-08 00:00:00,A,1069
136,195,2023-10-14 00:00:00,A,1103
137,196,2025-07-11 00:00:00,A,1122
138,197,2021-11-03 00:00:00,B,1113
139,198,2025-02-18 00:00:00,A,1009
140,199,2027-05-05 00:00:00,C,1105
141,200,2027-01-21 00:00:00,A,1120
142,203,2026-08-03 00:00:00,C,1063
143,204,2024-05-18 00:00:00,C,1058
144,205,2026-12-31 00:00:00,B,1056
145,206,2025-08-31 00:00:00,B,1007
146,207,2025-12-07 00:00:00,A,1034
147,208,2025-07-02 00:00:00,A,1060
148,209,2023-12-21 00:00:00,A,1036
149,210,2024-01-19 00:00:00,C,1011
150,213,2022-09-07 00:00:00,A,1021
151,216,2026-08-16 00:00:00,A,1085
152,217,2023-08-29 00:00:00,A,1020
153,218,2022-05-16 00:00:00,C,1024
154,219,2025-04-21 00:00:00,A,1060
155,220,2024-12-29 00:00:00,C,1050
156,221,2023-10-26 00:00:00,C,1010
157,223,2023-06-15 00:00:00,A,1110
158,224,2025-04-13 00:00:00,A,1002
159,225,2021-08-10 00:00:00,A,1110
160,228,2023-09-18 00:00:00,A,1067
161,230,2024-04-18 00:00:00,C,1106
162,231,2023-07-11 00:00:00,A,1125
163,234,2026-12-11 00:00:00,A,1092
164,235,2024-02-14 00:00:00,A,1020
165,236,2026-05-15 00:00:00,A,1110
166,237,2026-08-28 00:00:00,C,1034
167,238,2022-01-05 00:00:00,A,1010
168,239,2024-11-20 00:00:00,B,1095
169,240,2027-03-28 00:00:00,A,1111
170,241,2025-06-24 00:00:00,C,1019
171,243,2025-04-27 00:00:00,B,1062
172,244,2023-05-09 00:00:00,C,1099
173,246,2025-10-08 00:00:00,C,1060
174,247,2025-11-13 00:00:00,C,1083
175,248,2023-11-14 00:00:00,C,1006
176,249,2025-09-26 00:00:00,A,1035
177,250,2025-03-23 00:00:00,A,1069
178,251,2026-03-10 00:00:00,A,1098
179,252,2026-07-09 00:00:00,C,1071
180,253,2024-01-07 00:00:00,A,1055
181,254,2024-12-11 00:00:00,A,1028
182,255,2024-07-02 00:00:00,C,1039
183,256,2025-01-05 00:00:00,A,1126
184,257,2022-04-18 00:00:00,A,1064
185,259,2021-12-27 00:00:00,C,1093
186,260,2027-03-27 00:00:00,A,1044
187,262,2026-05-23 00:00:00,A,1085
188,265,2026-01-28 00:00:00,A,1098
189,267,2026-05-01 00:00:00,A,1103
190,268,2023-11-12 00:00:00,B,1012
191,270,2026-02-24 00:00:00,C,1117
192,271,2024-06-26 00:00:00,A,1050
193,274,2025-04-11 00:00:00,A,1089
194,276,2022-12-21 00:00:00,A,1008
195,278,2024-06-29 00:00:00,C,1053
196,279,2026-11-04 00:00:00,A,1005
197,280,2026-03-21 00:00:00,A,1001
