ActCode,SectionCode,SectionDescription,Active
BNS,103,Section 103 of BNS,1
BNS,109,Section 109 of BNS,1
BNS,115,Section 115 of BNS,1
BNS,117,Section 117 of BNS,1
BNS,189,Section 189 of BNS,1
BNS,191,Section 191 of BNS,1
BNS,303,Section 303 of BNS,1
BNS,304,Section 304 of BNS,1
BNS,305,Section 305 of BNS,1
BNS,309,Section 309 of BNS,1
BNS,316,Section 316 of BNS,1
BNS,318,Section 318 of BNS,1
BNS,331,Section 331 of BNS,1
BNS,74,Section 74 of BNS,1
BNS,85,Section 85 of BNS,1
IT,66C,Section 66C of IT,1
IT,66D,Section 66D of IT,1
