ArrestSurrenderID,AccusedMasterID
1,2
2,6
3,7
4,8
5,9
6,11
7,17
7,18
7,19
8,20
8,21
8,22
9,23
9,24
9,25
10,26
10,27
10,28
11,32
11,33
11,34
11,35
12,36
12,37
12,38
12,39
13,40
13,41
14,42
14,43
15,47
15,48
16,49
16,50
17,51
17,52
18,59
19,60
19,61
20,67
21,69
22,70
22,71
22,72
23,82
24,83
24,84
25,88
26,89
27,90
27,91
28,92
29,93
29,94
29,95
30,96
31,97
31,98
31,99
32,100
33,102
33,103
34,104
35,105
36,106
36,107
36,108
37,111
38,112
38,113
39,114
39,115
39,116
40,117
40,118
41,119
42,120
42,121
43,123
44,125
44,126
45,129
46,130
46,131
47,137
48,139
48,140
49,145
50,148
51,149
52,150
53,151
54,155
54,156
54,157
55,158
55,159
56,160
56,161
56,162
57,163
58,164
58,165
59,167
59,168
60,169
60,170
60,171
61,176
61,177
62,184
62,185
62,186
63,187
63,188
64,189
64,190
65,191
65,192
66,193
67,194
67,195
68,199
68,200
69,205
70,209
70,210
71,211
72,212
72,213
73,215
74,216
75,217
76,223
76,224
77,225
77,226
78,237
78,238
78,239
79,247
80,252
81,254
82,255
83,257
84,258
85,259
86,260
87,263
88,264
89,265
89,266
89,267
90,271
91,272
92,273
92,274
93,277
94,278
95,280
96,281
97,283
98,284
98,285
99,286
99,287
100,288
101,289
101,290
101,291
102,293
102,294
103,295
103,296
104,297
105,300
106,301
106,302
106,303
107,306
107,307
108,310
109,311
110,314
110,315
111,320
112,322
112,323
113,324
114,327
115,328
116,331
116,332
117,334
118,335
119,338
120,339
120,340
121,341
122,342
122,343
123,344
124,348
124,349
125,351
126,352
126,353
126,354
127,355
128,356
128,357
129,360
130,361
131,362
131,363
132,366
133,368
133,369
133,370
134,371
135,372
135,373
136,375
137,376
138,377
138,378
138,379
139,380
140,382
141,386
142,390
143,393
143,394
144,395
144,396
145,397
145,398
146,399
147,400
148,401
149,402
149,403
150,404
151,405
151,406
152,407
152,408
153,409
154,416
155,420
156,429
157,430
157,431
158,432
159,435
159,436
159,437
160,438
160,439
161,440
161,441
162,442
163,443
164,448
165,449
166,454
167,456
168,457
168,458
168,459
169,460
169,461
170,462
170,463
171,466
172,467
172,468
173,473
174,474
175,477
175,478
176,479
176,480
177,481
177,482
178,486
179,487
179,488
180,489
181,491
181,492
182,493
182,494
183,495
183,496
184,497
185,498
186,503
187,504
188,505
189,507
190,510
191,511
192,513
193,514
193,515
194,518
195,520
195,521
196,522
197,523
198,527
199,528
199,529
199,530
200,535
200,536
201,537
201,538
202,539
202,540
202,541
203,542
203,543
204,546
205,550
205,551
206,553
207,554
208,557
208,558
209,559
210,560
211,561
211,562
212,563
213,565
214,566
214,567
215,568
216,579
216,580
216,581
217,582
218,583
218,584
219,588
220,591
221,592
222,593
223,596
224,599
225,600
226,601
226,602
