CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1,BNS,303,1,1
2,BNS,303,1,1
3,BNS,303,1,1
4,BNS,305,1,1
4,BNS,331,1,2
5,BNS,305,1,1
5,BNS,331,1,2
6,BNS,303,1,1
7,BNS,305,1,1
7,BNS,331,1,2
8,BNS,305,1,1
8,BNS,331,1,2
9,BNS,305,1,1
9,BNS,331,1,2
10,BNS,303,1,1
11,BNS,303,1,1
12,BNS,305,1,1
12,BNS,331,1,2
13,BNS,304,1,1
14,BNS,304,1,1
15,BNS,304,1,1
16,BNS,304,1,1
17,BNS,304,1,1
18,BNS,304,1,1
19,BNS,304,1,1
20,BNS,304,1,1
21,BNS,304,1,1
22,BNS,304,1,1
23,BNS,304,1,1
24,BNS,304,1,1
25,BNS,304,1,1
26,BNS,304,1,1
27,BNS,304,1,1
28,BNS,318,1,1
29,BNS,305,1,1
29,BNS,331,1,2
30,BNS,305,1,1
30,BNS,331,1,2
31,BNS,318,1,1
32,BNS,318,1,1
32,IT,66C,1,2
32,IT,66D,1,3
33,BNS,303,1,1
34,BNS,109,1,1
35,BNS,303,1,1
36,BNS,304,1,1
37,BNS,303,1,1
38,BNS,115,1,1
39,BNS,303,1,1
40,BNS,115,1,1
41,BNS,117,1,1
42,BNS,109,1,1
43,BNS,303,1,1
44,BNS,74,1,1
45,BNS,117,1,1
46,IT,66C,1,1
47,BNS,115,1,1
48,IT,66C,1,1
49,BNS,305,1,1
49,BNS,331,1,2
50,IT,66C,1,1
51,BNS,303,1,1
52,BNS,117,1,1
53,BNS,303,1,1
54,BNS,85,1,1
55,BNS,303,1,1
56,BNS,303,1,1
57,BNS,115,1,1
58,BNS,305,1,1
58,BNS,331,1,2
59,BNS,316,1,1
60,BNS,303,1,1
61,BNS,305,1,1
61,BNS,331,1,2
62,BNS,103,1,1
63,BNS,318,1,1
64,BNS,103,1,1
65,BNS,74,1,1
66,BNS,318,1,1
67,BNS,318,1,1
67,IT,66C,1,2
67,IT,66D,1,3
68,BNS,304,1,1
69,BNS,303,1,1
70,BNS,318,1,1
70,IT,66C,1,2
70,IT,66D,1,3
71,BNS,303,1,1
72,BNS,303,1,1
73,BNS,303,1,1
74,BNS,103,1,1
75,BNS,318,1,1
76,BNS,115,1,1
77,BNS,303,1,1
78,BNS,318,1,1
78,IT,66C,1,2
78,IT,66D,1,3
79,BNS,305,1,1
79,BNS,331,1,2
80,BNS,305,1,1
80,BNS,331,1,2
81,BNS,318,1,1
82,BNS,318,1,1
83,BNS,316,1,1
84,BNS,109,1,1
85,BNS,318,1,1
86,BNS,305,1,1
86,BNS,331,1,2
87,BNS,115,1,1
88,BNS,115,1,1
89,BNS,303,1,1
90,BNS,318,1,1
91,BNS,318,1,1
92,BNS,85,1,1
93,BNS,115,1,1
94,BNS,115,1,1
95,BNS,117,1,1
96,BNS,303,1,1
97,BNS,189,1,1
98,BNS,303,1,1
99,BNS,318,1,1
100,BNS,117,1,1
101,BNS,316,1,1
102,BNS,303,1,1
103,BNS,316,1,1
104,BNS,303,1,1
105,BNS,115,1,1
106,BNS,303,1,1
107,BNS,85,1,1
108,BNS,303,1,1
109,BNS,303,1,1
110,BNS,318,1,1
111,BNS,303,1,1
112,BNS,115,1,1
113,BNS,303,1,1
114,BNS,318,1,1
115,BNS,304,1,1
116,IT,66C,1,1
117,BNS,318,1,1
118,BNS,303,1,1
119,BNS,303,1,1
120,BNS,115,1,1
121,BNS,303,1,1
122,BNS,74,1,1
123,BNS,318,1,1
124,BNS,318,1,1
125,BNS,74,1,1
126,BNS,318,1,1
127,BNS,303,1,1
128,BNS,115,1,1
129,BNS,318,1,1
129,IT,66C,1,2
129,IT,66D,1,3
130,BNS,303,1,1
131,BNS,117,1,1
132,BNS,117,1,1
133,BNS,303,1,1
134,BNS,305,1,1
134,BNS,331,1,2
135,BNS,303,1,1
136,BNS,305,1,1
136,BNS,331,1,2
137,BNS,303,1,1
138,BNS,303,1,1
139,BNS,303,1,1
140,BNS,303,1,1
141,BNS,318,1,1
142,BNS,115,1,1
143,BNS,318,1,1
144,BNS,303,1,1
145,BNS,318,1,1
146,BNS,115,1,1
147,BNS,74,1,1
148,BNS,303,1,1
149,BNS,74,1,1
150,BNS,303,1,1
151,BNS,85,1,1
152,BNS,191,1,1
153,BNS,115,1,1
154,BNS,303,1,1
155,BNS,115,1,1
156,BNS,303,1,1
157,BNS,304,1,1
158,BNS,309,1,1
159,BNS,74,1,1
160,BNS,304,1,1
161,BNS,304,1,1
162,BNS,303,1,1
163,BNS,303,1,1
164,BNS,318,1,1
165,BNS,115,1,1
166,BNS,304,1,1
167,BNS,303,1,1
168,BNS,309,1,1
169,BNS,115,1,1
170,BNS,303,1,1
171,BNS,303,1,1
172,BNS,303,1,1
173,BNS,303,1,1
174,BNS,117,1,1
175,BNS,303,1,1
176,BNS,309,1,1
177,BNS,303,1,1
178,BNS,305,1,1
178,BNS,331,1,2
179,BNS,74,1,1
180,BNS,117,1,1
181,BNS,117,1,1
182,BNS,305,1,1
182,BNS,331,1,2
183,BNS,74,1,1
184,BNS,189,1,1
185,BNS,305,1,1
185,BNS,331,1,2
186,BNS,117,1,1
187,BNS,115,1,1
188,BNS,304,1,1
189,BNS,117,1,1
190,BNS,115,1,1
191,BNS,303,1,1
192,BNS,303,1,1
193,BNS,316,1,1
194,BNS,303,1,1
195,BNS,117,1,1
196,IT,66C,1,1
197,BNS,303,1,1
198,BNS,303,1,1
199,BNS,117,1,1
200,BNS,103,1,1
201,BNS,318,1,1
201,IT,66C,1,2
201,IT,66D,1,3
202,BNS,191,1,1
203,BNS,304,1,1
204,BNS,303,1,1
205,BNS,305,1,1
205,BNS,331,1,2
206,BNS,303,1,1
207,BNS,303,1,1
208,BNS,117,1,1
209,BNS,191,1,1
210,BNS,115,1,1
211,BNS,318,1,1
211,IT,66C,1,2
211,IT,66D,1,3
212,BNS,189,1,1
213,BNS,316,1,1
214,BNS,303,1,1
215,BNS,318,1,1
216,BNS,304,1,1
217,BNS,305,1,1
217,BNS,331,1,2
218,BNS,305,1,1
218,BNS,331,1,2
219,BNS,305,1,1
219,BNS,331,1,2
220,BNS,117,1,1
221,BNS,305,1,1
221,BNS,331,1,2
222,BNS,115,1,1
223,BNS,303,1,1
224,BNS,309,1,1
225,BNS,303,1,1
226,BNS,117,1,1
227,BNS,309,1,1
228,BNS,74,1,1
229,BNS,85,1,1
230,BNS,303,1,1
231,BNS,318,1,1
231,IT,66C,1,2
231,IT,66D,1,3
232,BNS,318,1,1
233,BNS,109,1,1
234,BNS,303,1,1
235,BNS,305,1,1
235,BNS,331,1,2
236,BNS,303,1,1
237,BNS,303,1,1
238,BNS,191,1,1
239,BNS,115,1,1
240,BNS,115,1,1
241,BNS,109,1,1
242,BNS,303,1,1
243,BNS,318,1,1
243,IT,66C,1,2
243,IT,66D,1,3
244,BNS,309,1,1
245,BNS,304,1,1
246,BNS,318,1,1
247,BNS,303,1,1
248,BNS,74,1,1
249,BNS,316,1,1
250,BNS,304,1,1
251,BNS,103,1,1
252,BNS,303,1,1
253,BNS,115,1,1
254,BNS,303,1,1
255,BNS,305,1,1
255,BNS,331,1,2
256,BNS,303,1,1
257,BNS,303,1,1
258,BNS,318,1,1
259,BNS,303,1,1
260,BNS,318,1,1
261,BNS,303,1,1
262,BNS,303,1,1
263,BNS,303,1,1
264,BNS,303,1,1
265,BNS,309,1,1
266,BNS,74,1,1
267,BNS,303,1,1
268,BNS,305,1,1
268,BNS,331,1,2
269,BNS,115,1,1
270,BNS,303,1,1
271,BNS,305,1,1
271,BNS,331,1,2
272,BNS,115,1,1
273,BNS,318,1,1
274,BNS,318,1,1
275,BNS,318,1,1
276,BNS,305,1,1
276,BNS,331,1,2
277,BNS,74,1,1
278,BNS,303,1,1
279,BNS,115,1,1
280,BNS,303,1,1
281,BNS,303,1,1
282,BNS,303,1,1
283,BNS,303,1,1
284,BNS,309,1,1
285,BNS,318,1,1
286,BNS,316,1,1
287,BNS,303,1,1
288,BNS,303,1,1
289,BNS,109,1,1
290,BNS,74,1,1
291,BNS,303,1,1
292,BNS,303,1,1
293,BNS,74,1,1
294,BNS,85,1,1
295,BNS,115,1,1
296,BNS,117,1,1
297,BNS,318,1,1
297,IT,66C,1,2
297,IT,66D,1,3
298,BNS,303,1,1
299,BNS,103,1,1
300,BNS,303,1,1
301,BNS,305,1,1
301,BNS,331,1,2
302,BNS,316,1,1
303,BNS,85,1,1
304,BNS,318,1,1
305,BNS,318,1,1
306,IT,66C,1,1
307,BNS,304,1,1
308,BNS,305,1,1
308,BNS,331,1,2
309,BNS,303,1,1
310,BNS,318,1,1
311,BNS,303,1,1
312,BNS,305,1,1
312,BNS,331,1,2
313,BNS,304,1,1
314,BNS,85,1,1
315,BNS,115,1,1
316,BNS,318,1,1
316,IT,66C,1,2
316,IT,66D,1,3
317,BNS,303,1,1
318,BNS,305,1,1
318,BNS,331,1,2
319,BNS,74,1,1
320,BNS,318,1,1
321,BNS,74,1,1
322,BNS,303,1,1
323,BNS,318,1,1
324,BNS,303,1,1
325,BNS,303,1,1
326,BNS,303,1,1
327,BNS,303,1,1
328,BNS,305,1,1
328,BNS,331,1,2
329,BNS,85,1,1
330,BNS,316,1,1
331,BNS,115,1,1
332,BNS,303,1,1
333,BNS,303,1,1
334,BNS,303,1,1
335,BNS,318,1,1
336,BNS,305,1,1
336,BNS,331,1,2
337,BNS,318,1,1
337,IT,66C,1,2
337,IT,66D,1,3
338,BNS,303,1,1
339,BNS,117,1,1
340,BNS,318,1,1
341,BNS,115,1,1
342,BNS,303,1,1
343,BNS,316,1,1
344,BNS,74,1,1
345,BNS,115,1,1
346,BNS,74,1,1
347,BNS,309,1,1
348,BNS,85,1,1
349,BNS,318,1,1
349,IT,66C,1,2
349,IT,66D,1,3
350,BNS,117,1,1
351,BNS,74,1,1
352,BNS,85,1,1
353,BNS,303,1,1
354,BNS,305,1,1
354,BNS,331,1,2
355,BNS,303,1,1
356,BNS,303,1,1
357,BNS,303,1,1
358,BNS,85,1,1
359,BNS,316,1,1
360,BNS,115,1,1
361,BNS,318,1,1
361,IT,66C,1,2
361,IT,66D,1,3
362,BNS,303,1,1
363,BNS,115,1,1
364,BNS,303,1,1
365,IT,66C,1,1
366,BNS,305,1,1
366,BNS,331,1,2
367,BNS,304,1,1
368,BNS,303,1,1
369,BNS,303,1,1
370,BNS,115,1,1
371,BNS,117,1,1
372,BNS,305,1,1
372,BNS,331,1,2
373,BNS,318,1,1
374,BNS,305,1,1
374,BNS,331,1,2
375,BNS,303,1,1
376,BNS,85,1,1
377,BNS,318,1,1
377,IT,66C,1,2
377,IT,66D,1,3
378,BNS,316,1,1
379,BNS,117,1,1
380,BNS,117,1,1
381,BNS,303,1,1
382,BNS,115,1,1
383,BNS,115,1,1
384,BNS,115,1,1
385,BNS,191,1,1
386,BNS,117,1,1
387,BNS,303,1,1
388,BNS,303,1,1
389,BNS,117,1,1
390,BNS,303,1,1
391,BNS,103,1,1
392,BNS,318,1,1
392,IT,66C,1,2
392,IT,66D,1,3
393,BNS,316,1,1
394,BNS,318,1,1
395,BNS,304,1,1
396,BNS,115,1,1
397,BNS,305,1,1
397,BNS,331,1,2
398,BNS,191,1,1
399,BNS,109,1,1
400,BNS,303,1,1
401,BNS,115,1,1
402,BNS,318,1,1
403,BNS,318,1,1
404,IT,66C,1,1
405,BNS,303,1,1
406,BNS,318,1,1
407,BNS,85,1,1
408,BNS,115,1,1
409,BNS,304,1,1
410,IT,66C,1,1
411,BNS,316,1,1
412,BNS,115,1,1
413,BNS,309,1,1
414,BNS,303,1,1
415,BNS,115,1,1
416,BNS,303,1,1
417,BNS,74,1,1
418,BNS,318,1,1
419,BNS,303,1,1
420,BNS,318,1,1
421,BNS,117,1,1
422,BNS,318,1,1
422,IT,66C,1,2
422,IT,66D,1,3
423,BNS,303,1,1
424,BNS,305,1,1
424,BNS,331,1,2
425,BNS,74,1,1
426,BNS,303,1,1
427,BNS,191,1,1
428,BNS,115,1,1
429,BNS,303,1,1
430,BNS,318,1,1
431,BNS,318,1,1
432,BNS,85,1,1
433,BNS,316,1,1
434,BNS,189,1,1
435,BNS,316,1,1
436,BNS,305,1,1
436,BNS,331,1,2
437,BNS,115,1,1
438,BNS,117,1,1
439,BNS,318,1,1
439,IT,66C,1,2
439,IT,66D,1,3
440,BNS,191,1,1
441,BNS,316,1,1
442,BNS,304,1,1
443,BNS,303,1,1
444,BNS,303,1,1
445,BNS,318,1,1
446,BNS,115,1,1
447,BNS,115,1,1
448,BNS,304,1,1
449,BNS,303,1,1
450,BNS,316,1,1
451,BNS,316,1,1
452,BNS,115,1,1
453,BNS,115,1,1
454,BNS,318,1,1
454,IT,66C,1,2
454,IT,66D,1,3
455,BNS,316,1,1
456,BNS,318,1,1
456,IT,66C,1,2
456,IT,66D,1,3
457,BNS,303,1,1
458,BNS,85,1,1
459,BNS,74,1,1
460,BNS,117,1,1
461,BNS,117,1,1
462,BNS,303,1,1
463,IT,66C,1,1
464,BNS,318,1,1
464,IT,66C,1,2
464,IT,66D,1,3
465,BNS,304,1,1
466,BNS,316,1,1
467,BNS,85,1,1
468,BNS,74,1,1
469,BNS,74,1,1
470,BNS,74,1,1
471,BNS,115,1,1
472,BNS,304,1,1
473,BNS,117,1,1
474,BNS,318,1,1
475,BNS,318,1,1
475,IT,66C,1,2
475,IT,66D,1,3
476,BNS,103,1,1
477,BNS,303,1,1
478,BNS,304,1,1
479,BNS,74,1,1
480,BNS,318,1,1
481,BNS,318,1,1
482,BNS,85,1,1
483,BNS,304,1,1
484,BNS,303,1,1
485,BNS,189,1,1
486,BNS,316,1,1
487,BNS,115,1,1
488,BNS,305,1,1
488,BNS,331,1,2
489,BNS,85,1,1
490,BNS,117,1,1
491,BNS,305,1,1
491,BNS,331,1,2
492,BNS,318,1,1
492,IT,66C,1,2
492,IT,66D,1,3
493,BNS,115,1,1
494,BNS,115,1,1
495,BNS,318,1,1
496,BNS,115,1,1
497,IT,66C,1,1
498,BNS,117,1,1
499,BNS,305,1,1
499,BNS,331,1,2
500,BNS,305,1,1
500,BNS,331,1,2
501,BNS,304,1,1
502,BNS,318,1,1
502,IT,66C,1,2
502,IT,66D,1,3
503,BNS,305,1,1
503,BNS,331,1,2
