CaseMasterID,CrimeNo,CrimeRegisteredDate,PoliceStation,District,CaseCategory,Gravity,CrimeMajorHead,CrimeMinorHead,CaseStatus,Court,IncidentFromDate,latitude,longitude,BriefFacts,FinalReportType
1,100010009202100001,2021-10-28,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Acquitted,Bengaluru City District & Sessions Court,2021-10-27 21:00:00,12.9287,77.570501,Complainant reported the incident of ordinary theft which occurred near MG Road. Investigation taken up.,A
2,100010006202300001,2023-01-19,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Ordinary Theft,Closed - Undetected,Bengaluru City District & Sessions Court,2023-01-18 21:00:00,12.961511,77.55455,Complainant reported the incident of ordinary theft which occurred near Electronic City Phase 1. Investigation taken up.,C
3,100010006202600001,2026-06-26,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Closed - Undetected,Bengaluru City District & Sessions Court,2026-06-25 02:00:00,13.001958,77.587764,Complainant parked his Bolero bearing registration KA-51-FB-4830 near Hebbal Flyover. On return the vehicle was found stolen.,C
4,100010010202100001,2021-02-08,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Charge Sheeted,Bengaluru City District & Sessions Court,2021-02-07 20:00:00,12.939921,77.636749,House breaking at Mysuru Devaraja Market; accused gained entry through rear window and stole valuables worth approx Rs. 25000.,A
5,100010010202500001,2025-04-03,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Charge Sheeted,Bengaluru City District & Sessions Court,2025-04-03 17:00:00,12.923161,77.650664,Unknown persons broke open the door lock of the complainant's house at Majestic Bus Stand during night hours and committed theft of gold ornaments and cash worth Rs. 350000.,A
6,100010009202600001,2026-01-02,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Charge Sheeted,Bengaluru City District & Sessions Court,2026-01-02 02:00:00,12.952382,77.574184,Bolero KA-01-BD-8046 stolen from parking area near City Railway Station between 1530 and 2200 hours.,A
7,100010006202100001,2021-02-27,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Closed - Undetected,Bengaluru City District & Sessions Court,2021-02-25 17:00:00,12.979747,77.575974,Unknown persons broke open the door lock of the complainant's house at Koramangala 5th Block during daytime when occupants were away and committed theft of gold ornaments and cash worth Rs. 50000.,C
8,100010008202500001,2025-11-27,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Closed - Undetected,Bengaluru City District & Sessions Court,2025-11-27 18:00:00,12.968247,77.575679,Unknown persons broke open the door lock of the complainant's house at Malleshwaram 8th Cross during daytime when occupants were away and committed theft of gold ornaments and cash worth Rs. 350000.,C
9,100010009202500001,2025-02-12,Jayanagar PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Charge Sheeted,Bengaluru City District & Sessions Court,2025-02-12 00:00:00,12.915693,77.609986,Unknown persons broke open the door lock of the complainant's house at KR Market during daytime when occupants were away and committed theft of gold ornaments and cash worth Rs. 200000.,A
10,100010006202300002,2023-02-13,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Convicted,Bengaluru City District & Sessions Court,2023-02-12 18:00:00,12.973279,77.549995,Complainant parked his Activa scooter bearing registration KA-01-BD-6724 near City Railway Station. On return the vehicle was found stolen.,A
11,100010010202600001,2026-10-21,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Vehicle Theft,Charge Sheeted,Bengaluru City District & Sessions Court,2026-10-19 01:00:00,12.942302,77.640518,Complainant parked his Swift car bearing registration KA-01-BG-8581 near Hubballi Old Bus Stand. On return the vehicle was found stolen.,A
12,100010010202400001,2024-09-17,Koramangala PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,House Burglary,Acquitted,Bengaluru City District & Sessions Court,2024-09-17 20:00:00,12.950036,77.63417,Unknown persons broke open the door lock of the complainant's house at Mysuru Devaraja Market during daytime when occupants were away and committed theft of gold ornaments and cash worth Rs. 350000.,A
17,100010007202300001,2023-11-11,KR Market PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Convicted,Bengaluru City District & Sessions Court,2023-11-11 15:00:00,12.994244,77.58226,Unknown accused on motorcycle snatched 25 gram gold chain from complainant near Malleshwaram 8th Cross at around 1900 hours and escaped.,A
19,100010006202400001,2024-02-05,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Acquitted,Bengaluru City District & Sessions Court,2024-02-03 02:00:00,12.990687,77.592361,Unknown accused on motorcycle snatched 20 gram gold chain from complainant near Electronic City Phase 1 at around 1130 hours and escaped.,A
20,100010006202400002,2024-06-21,Upparpet PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Closed - False Case,Bengaluru City District & Sessions Court,2024-06-21 13:00:00,12.959958,77.586122,Two persons on a blue Splendor approached the complainant walking near Whitefield Main Road and the pillion rider snatched the gold chain weighing approx 20 grams from her neck and sped away towards Market side.,B
21,100010008202300001,2023-02-02,Cubbon Park PS,Bengaluru City,FIR,Non-Heinous,Crimes Against Property,Chain Snatching,Closed - Undetected,Bengaluru City District & Sessions Court,2023-02-01 07:00:00,12.982961,77.571212,Unknown accused on motorcycle snatched 30 gram gold chain from complainant near Banashankari Temple at around 0700 hours and escaped.,C
