ResolvedPersonID,RoleTable,RoleRowID,CaseMasterID,MatchConfidence
1,Accused,1,1,0.925
1,Accused,2,2,0.875
1,Accused,3,3,0.875
1,Accused,4,4,0.925
1,Accused,5,5,0.875
1,Accused,6,6,0.825
1,Accused,7,7,0.825
1,Accused,8,8,0.875
1,Accused,9,9,0.925
1,Accused,10,10,0.925
1,Accused,11,11,0.875
1,Accused,12,12,0.875
1,Accused,724,610,0.825
1,Accused,1166,1002,0.925
1,Accused,1822,1550,0.875
1,Accused,2524,2180,0.925
1,Accused,2542,2192,0.825
1,Accused,3073,2676,0.825
1,Accused,4924,4341,0.925
1,Accused,5069,4478,0.825
2,Accused,13,13,1.0
2,Accused,22,16,1.0
2,Accused,25,17,1.0
2,Accused,30,18,1.0
2,Accused,36,20,1.0
2,Accused,37,21,1.0
2,Accused,42,22,1.0
2,Accused,46,23,1.0
2,Accused,51,24,1.0
2,Accused,53,25,1.0
2,Accused,57,26,1.0
3,Accused,14,13,1.0
3,Accused,16,14,1.0
3,Accused,21,15,1.0
3,Accused,26,17,1.0
3,Accused,32,19,1.0
3,Accused,34,20,1.0
3,Accused,39,21,1.0
3,Accused,49,24,1.0
3,Accused,60,27,1.0
4,Accused,15,14,0.925
4,Accused,35,20,0.925
4,Accused,45,23,0.925
4,Accused,48,24,0.925
4,Accused,54,25,0.925
4,Accused,58,26,0.925
4,Accused,187,146,0.925
4,Accused,823,703,0.875
4,Accused,2281,1960,0.925
4,Accused,2548,2198,0.925
4,Accused,4556,4011,0.825
4,Accused,4626,4065,0.875
4,Accused,5122,4523,0.925
4,Accused,5414,4794,0.875
4,Accused,5608,4946,0.875
5,Accused,17,14,0.925
5,Accused,18,14,0.835
5,Accused,20,15,0.925
5,Accused,24,16,0.835
5,Accused,27,18,0.925
5,Accused,28,18,0.835
5,Accused,31,19,0.925
5,Accused,33,19,0.835
5,Accused,38,21,0.925
5,Accused,43,22,0.925
5,Accused,44,22,0.835
5,Accused,47,23,0.925
5,Accused,50,24,0.925
5,Accused,55,25,0.835
5,Accused,56,26,0.925
5,Accused,61,27,0.835
