ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
1,2,2,2023-03-22,29,1,6,1002,1,2,1,0
2,3,1,2026-07-01,29,1,6,1002,1,3,1,0
3,4,1,2021-03-23,29,1,10,1034,1,4,1,0
4,5,1,2025-06-27,29,1,10,1030,1,5,1,0
5,8,1,2026-01-23,29,1,8,1017,1,8,1,0
6,9,1,2025-04-27,29,1,9,1024,1,9,1,0
7,10,1,2023-05-05,29,1,6,1003,1,10,1,0
8,11,1,2026-11-13,29,1,10,1032,1,11,1,0
9,12,1,2024-12-12,29,1,10,1032,1,12,1,0
10,15,1,2024-05-06,29,1,7,1011,1,19,1,0
11,16,1,2026-09-17,29,1,8,1020,1,22,1,0
12,21,1,2023-03-24,29,1,8,1017,1,37,1,0
13,22,1,2024-06-06,29,1,7,1011,1,41,1,0
14,24,1,2026-04-25,29,1,8,1016,1,48,1,0
15,25,2,2026-08-26,29,1,7,1013,1,52,1,0
16,26,1,2026-12-11,29,1,7,1010,1,56,1,0
17,27,1,2026-09-24,29,1,7,1010,1,60,1,0
18,28,2,2022-12-06,29,1,8,1019,1,62,1,0
19,31,2,2024-04-10,29,2,13,1054,2,64,1,0
20,33,1,2024-11-29,29,3,16,1082,3,65,1,0
21,38,1,2026-01-12,29,1,11,1040,1,71,1,0
22,42,1,2022-07-16,29,3,15,1073,3,76,1,0
23,44,1,2026-03-27,29,4,17,1091,4,77,1,0
24,45,1,2024-11-20,29,1,6,1001,1,78,1,0
25,48,1,2022-09-18,29,2,14,1060,2,81,1,0
26,49,2,2027-01-11,29,1,7,1007,1,82,1,0
27,52,1,2021-03-02,29,2,13,1058,2,83,1,0
28,54,1,2025-03-25,29,1,10,1030,1,88,1,0
29,57,1,2023-05-28,29,8,21,1119,8,90,1,0
30,61,1,2026-02-23,29,1,11,1042,1,93,1,0
31,62,1,2025-04-24,29,4,17,1089,4,95,1,0
32,63,2,2026-11-26,29,3,16,1078,3,98,1,0
33,64,2,2026-04-07,29,1,12,1046,1,99,1,0
34,65,1,2024-06-20,29,5,18,1094,5,100,1,0
35,66,1,2025-05-15,29,1,12,1048,1,101,1,0
36,68,2,2021-07-19,29,2,14,1059,2,102,1,0
37,70,1,2022-05-02,29,1,12,1051,1,103,1,0
38,74,1,2026-01-04,29,4,17,1088,4,105,1,0
39,82,1,2022-09-22,29,4,17,1086,4,113,1,0
40,83,1,2026-04-17,29,1,9,1025,1,115,1,0
41,85,1,2025-09-20,29,3,16,1082,3,117,1,0
42,87,1,2024-12-24,29,2,14,1061,2,119,1,0
43,94,1,2024-01-13,29,8,21,1118,8,128,1,0
44,95,1,2026-03-07,29,1,11,1038,1,129,1,0
45,97,2,2025-03-18,29,1,6,1002,1,131,1,0
46,99,1,2025-08-22,29,1,10,1030,1,133,1,0
47,101,1,2023-10-31,29,1,8,1019,1,137,1,0
48,102,1,2024-01-15,29,1,10,1030,1,138,1,0
49,105,1,2027-02-19,29,7,20,1106,7,141,1,0
50,108,1,2023-04-07,29,3,16,1076,3,144,1,0
51,110,1,2022-03-24,29,1,10,1029,1,146,1,0
52,112,1,2023-10-07,29,3,16,1080,3,147,1,0
53,113,2,2024-05-23,29,1,8,1017,1,149,1,0
54,115,2,2025-05-19,29,7,20,1108,7,151,1,0
55,119,1,2021-03-13,29,1,12,1050,1,153,1,0
56,120,2,2025-11-21,29,2,14,1059,2,154,1,0
57,122,1,2021-03-14,29,1,6,1005,1,157,1,0
58,124,1,2022-09-06,29,1,12,1046,1,159,1,0
59,128,1,2022-12-08,29,1,12,1051,1,163,1,0
60,131,2,2024-08-09,29,1,12,1046,1,167,1,0
61,133,1,2026-03-17,29,1,6,1001,1,171,1,0
62,134,1,2023-02-19,29,1,9,1022,1,173,1,0
63,135,1,2021-02-15,29,1,9,1026,1,175,1,0
64,139,1,2021-12-30,29,8,21,1116,8,177,1,0
65,140,1,2026-09-20,29,2,14,1062,2,178,1,0
66,142,1,2023-12-04,29,2,13,1052,2,180,1,0
67,150,1,2025-12-12,29,2,14,1065,2,193,1,0
68,151,1,2026-12-10,29,1,8,1018,1,195,1,0
69,152,1,2022-02-07,29,1,9,1022,1,197,1,0
70,153,1,2021-03-07,29,7,20,1112,7,198,1,0
71,155,1,2023-08-31,29,1,9,1025,1,200,1,0
72,157,1,2026-08-13,29,7,20,1111,7,205,1,0
73,159,1,2024-04-05,29,4,17,1086,4,209,1,0
74,160,1,2025-11-21,29,7,20,1110,7,210,1,0
75,161,1,2021-06-29,29,1,6,1003,1,212,1,0
76,163,1,2024-02-10,29,1,12,1049,1,213,1,0
77,164,1,2025-03-29,29,1,8,1021,1,214,1,0
78,166,1,2022-12-11,29,2,13,1054,2,216,1,0
79,168,1,2025-09-02,29,4,17,1087,4,217,1,0
80,169,1,2022-07-18,29,4,17,1090,4,218,1,0
81,172,1,2023-02-28,29,1,8,1015,1,220,1,0
82,173,1,2025-03-14,29,7,20,1105,7,221,1,0
83,174,1,2022-06-26,29,3,15,1070,3,223,1,0
84,176,1,2023-04-22,29,1,6,1006,1,224,1,0
85,178,1,2024-11-08,29,1,6,1003,1,225,1,0
86,180,1,2022-04-25,29,1,12,1045,1,228,1,0
87,183,1,2026-07-12,29,1,11,1037,1,233,1,0
88,184,1,2025-11-11,29,2,14,1062,2,234,1,0
89,185,1,2026-11-21,29,1,8,1018,1,235,1,0
90,186,1,2025-11-18,29,5,18,1098,5,237,1,0
91,187,1,2026-09-21,29,1,10,1034,1,238,1,0
92,188,1,2026-07-29,29,1,10,1032,1,239,1,0
93,189,1,2021-03-04,29,2,13,1056,2,241,1,0
94,193,1,2023-12-27,29,6,19,1099,6,246,1,0
95,195,1,2024-06-08,29,1,10,1032,1,248,1,0
96,199,1,2024-02-19,29,3,16,1082,3,249,1,0
97,200,1,2026-03-11,29,7,20,1113,7,250,1,0
98,202,1,2024-12-28,29,1,10,1029,1,253,1,0
99,203,1,2021-06-02,29,4,17,1088,4,254,1,0
100,204,1,2021-03-15,29,2,14,1061,2,257,1,0
101,205,1,2025-07-22,29,1,10,1034,1,258,1,0
102,206,1,2026-02-18,29,1,11,1041,1,259,1,0
103,207,1,2023-03-08,29,1,12,1051,1,260,1,0
104,208,1,2026-09-13,29,1,8,1016,1,261,1,0
105,209,1,2023-10-24,29,7,20,1107,7,262,1,0
106,212,1,2026-04-08,29,1,10,1034,1,264,1,0
107,213,1,2024-06-27,29,6,19,1104,6,265,1,0
108,214,1,2023-07-13,29,6,19,1099,6,266,1,0
109,216,1,2024-04-05,29,6,19,1104,6,269,1,0
110,219,1,2025-12-02,29,1,6,1003,1,272,1,0
111,221,1,2024-04-09,29,5,18,1093,5,274,1,0
112,222,1,2023-08-15,29,1,8,1016,1,275,1,0
113,223,1,2022-04-13,29,3,15,1067,3,277,1,0
114,226,1,2026-02-23,29,4,17,1087,4,281,1,0
115,228,1,2022-12-10,29,1,10,1034,1,284,1,0
116,229,1,2025-12-30,29,8,21,1118,8,286,1,0
117,232,1,2021-07-04,29,1,8,1020,1,287,1,0
118,238,1,2024-03-21,29,1,12,1049,1,293,1,0
119,239,1,2021-07-02,29,4,17,1091,4,295,1,0
120,240,1,2026-01-05,29,1,7,1014,1,297,1,0
121,241,1,2022-09-21,29,6,19,1103,6,299,1,0
122,243,1,2025-04-06,29,2,14,1060,2,301,1,0
123,245,1,2026-08-03,29,1,11,1038,1,304,1,0
124,247,1,2023-09-04,29,2,13,1052,2,306,1,0
125,248,1,2024-09-21,29,2,14,1059,2,307,1,0
