CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2022-06-17 00:00:00,A,1023
2,2,2023-07-19 00:00:00,C,1002
3,3,2027-04-04 00:00:00,C,1002
4,4,2021-05-13 00:00:00,A,1034
5,5,2025-12-23 00:00:00,A,1030
6,6,2026-10-01 00:00:00,A,1025
7,7,2021-04-11 00:00:00,C,1003
8,8,2026-04-16 00:00:00,C,1017
9,9,2025-10-13 00:00:00,A,1024
10,10,2023-10-30 00:00:00,A,1003
11,11,2027-07-02 00:00:00,A,1032
12,12,2025-04-20 00:00:00,A,1032
13,17,2024-01-18 00:00:00,A,1013
14,19,2024-04-12 00:00:00,A,1006
15,20,2024-08-11 00:00:00,B,1005
16,21,2023-10-04 00:00:00,C,1017
17,22,2024-06-25 00:00:00,A,1011
18,23,2024-04-09 00:00:00,A,1007
19,24,2026-07-31 00:00:00,C,1016
20,25,2026-10-04 00:00:00,A,1013
21,27,2026-12-05 00:00:00,A,1010
22,28,2023-02-01 00:00:00,A,1019
23,29,2025-06-26 00:00:00,A,1102
24,30,2026-06-03 00:00:00,C,1105
25,31,2024-06-14 00:00:00,A,1054
26,32,2027-01-25 00:00:00,A,1046
27,34,2025-11-16 00:00:00,A,1100
28,38,2026-07-10 00:00:00,A,1040
29,39,2023-05-21 00:00:00,A,1095
30,40,2022-06-28 00:00:00,C,1077
31,44,2026-07-14 00:00:00,A,1091
32,51,2024-09-27 00:00:00,A,1088
33,53,2024-11-25 00:00:00,C,1058
34,54,2025-08-12 00:00:00,B,1030
35,55,2023-07-05 00:00:00,A,1098
36,56,2025-01-03 00:00:00,A,1028
37,58,2025-05-23 00:00:00,A,1096
38,59,2025-09-05 00:00:00,A,1105
39,60,2022-06-25 00:00:00,C,1110
40,61,2026-09-05 00:00:00,A,1042
41,62,2025-08-03 00:00:00,B,1089
42,63,2027-03-15 00:00:00,C,1078
43,64,2026-08-02 00:00:00,C,1046
44,66,2025-08-22 00:00:00,A,1048
45,67,2024-03-25 00:00:00,A,1059
46,68,2021-08-11 00:00:00,C,1059
